[02:55:28.788] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[02:55:29.190] |I| [init]:  Swap interval = -1
[02:55:33.152] |I| [load_app_impl]:  Title: vitaSnake
[02:55:33.152] |I| [load_app_impl]:  Serial: GRZB00002
[02:55:33.152] |I| [load_app_impl]:  Category: gd
[02:55:33.152] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[02:55:33.153] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[02:55:33.153] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[02:55:33.170] |W| [relocate_entry]:  Unhandled relocation code 102.
[02:55:33.171] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[02:55:33.171] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0xBAF50
[02:55:33.171] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0xBAFAC
[02:55:33.172] |I| [load_app_impl]:  Main executable vitaSnake (eboot.bin) loaded
[02:55:33.191] |I| [export_sceIoOpen]:  Opening file: tty0:
[02:55:33.191] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[02:55:33.192] |I| [export_sceIoOpen]:  Opening file: tty0:
[02:55:33.192] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[02:55:33.192] |I| [export_sceIoOpen]:  Opening file: tty0:
[02:55:33.192] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[02:55:33.224] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[02:55:33.225] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[02:55:33.237] |I| [load_module]:  Loading module ID: 0xE
[02:55:33.237] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
[02:55:33.238] |D| [load_var_exports]:  	NID 0x936C8A78 (SYSLYB) at 0x30FAA64
[02:55:33.238] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x30FA810
[02:55:33.238] |W| [load_var_imports]:  	NID NOT FOUND 0x93B8AA67 (__stack_chk_guard) at 0x30FAC50, setting to stub value 0xDEADBEEF
