[19:28:23.987] |I| [SDL_main]:  Vita3K v0.1 417-e8c4594
[19:28:25.539] |I| [install_vpk]:  ZELDAOLB1 already installed, launching application...
[19:28:25.540] |I| [load_app_impl]:  Title: Zelda: Oni Link Begins
[19:28:25.540] |I| [load_app_impl]:  Serial: ZELDAOLB1
[19:28:25.540] |I| [load_app_impl]:  Category: gd
[19:28:25.645] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.645] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.646] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.646] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.646] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.646] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.647] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.647] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.647] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.648] |W| [relocate]:  Unhandled relocation code 102.
[19:28:25.648] |I| [load_self]:  *** Loading symbols for (S)ELF: app0:eboot.bin
[19:28:25.648] |D| [load_var_exports]:  	NID 0x6c2224ba (NID_MODULE_INFO) at 0x21ea80
[19:28:25.648] |D| [load_var_exports]:  	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x21eadc
[19:28:25.754] |I| [export_sceIoOpen]:  Opening file: tty0:
[19:28:25.754] |I| [export_sceIoOpen]:  Opening file: tty0:
[19:28:25.754] |I| [export_sceIoOpen]:  Opening file: tty0:
[19:28:25.967] |W| [stubbed_impl]:  Stubbed sceKernelGetFreeMemorySize import called. (Single pool)
[19:28:27.243] |I| [export_sceGxmCreateContext]:  GL_VERSION = 4.1.0 NVIDIA 390.77
[19:28:27.243] |I| [export_sceGxmCreateContext]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[19:28:27.251] |E| [get_vertex_glsl]:  Missing vertex shader 6ffbabd7c62f20207352e29c821479cc0c723cfbbb8b8d7048f5de13a88079c7
[19:28:27.251] |D| [log_parameter]:  Vertex attribute: name:position type:0 component_count:0x4 container_index:0x0
[19:28:27.251] |D| [log_parameter]:  Uniform: name:u_mvp_matrix type:0 component_count:0x4 container_index:0xe
[19:28:27.254] |E| [get_fragment_glsl]:  Missing fragment shader 0cbd69f26f9d5aefc7bbcc722ca03f26ff334957c1eb889d2bf2e18ecf0a5d8b
[19:28:27.258] |E| [get_vertex_glsl]:  Missing vertex shader 7205706855a2cf7957f36053542283bf308674125b85b72f16c24b258fba6e88
[19:28:27.259] |D| [log_parameter]:  Vertex attribute: name:position type:0 component_count:0x4 container_index:0x0
[19:28:27.262] |E| [get_fragment_glsl]:  Missing fragment shader 779f0779a7601e460055762a9904d2ae2b0abfd6db5ed6757f464685cd48e57b
[19:28:27.262] |D| [log_parameter]:  Uniform: name:u_clear_color type:0 component_count:0x4 container_index:0xe
[19:28:27.268] |E| [get_vertex_glsl]:  Missing vertex shader 0b6136ca31968ab70dd3832f49cd4f7341da6f58e380f42f5019abd0939b5e00
[19:28:27.268] |D| [log_parameter]:  Vertex attribute: name:aPosition type:0 component_count:0x4 container_index:0x0
[19:28:27.269] |D| [log_parameter]:  Vertex attribute: name:aColor type:0 component_count:0x4 container_index:0x0
[19:28:27.269] |D| [log_parameter]:  Uniform: name:wvp type:0 component_count:0x4 container_index:0xe
[19:28:27.273] |E| [get_vertex_glsl]:  Missing vertex shader 5564ca2b94ff890d32fe24fb056b43a7ad2feadcb431012b1cd8dd9761938135
[19:28:27.274] |D| [log_parameter]:  Vertex attribute: name:aPosition type:0 component_count:0x4 container_index:0x0
[19:28:27.274] |D| [log_parameter]:  Vertex attribute: name:aColor type:0 component_count:0x4 container_index:0x0
[19:28:27.275] |D| [log_parameter]:  Uniform: name:wvp type:0 component_count:0x4 container_index:0xe
[19:28:27.278] |E| [get_fragment_glsl]:  Missing fragment shader 76466d960c800d381089cb221758950d66eaa758c57c866ec18e5d9cb20d89af
[19:28:27.283] |E| [get_vertex_glsl]:  Missing vertex shader b7009b8b383149a0d27af284b11c54196a478e1105560d6df4157cf664d9929b
[19:28:27.283] |D| [log_parameter]:  Vertex attribute: name:position type:0 component_count:0x4 container_index:0x0
[19:28:27.284] |D| [log_parameter]:  Vertex attribute: name:texcoord type:0 component_count:0x4 container_index:0x0
[19:28:27.284] |D| [log_parameter]:  Uniform: name:wvp type:0 component_count:0x4 container_index:0xe
[19:28:27.287] |E| [get_fragment_glsl]:  Missing fragment shader b9d12da7e37d8c1f995fbfcf6b64ab1047b839fa0fd9c9da01b4e99aeb8a59c9
[19:28:27.287] |D| [log_parameter]:  Uniform: name:alphaCut type:0 component_count:0x1 container_index:0xe
[19:28:27.287] |D| [log_parameter]:  Uniform: name:alphaOp type:4 component_count:0x1 container_index:0xe
[19:28:27.289] |D| [log_parameter]:  Uniform: name:tintColor type:0 component_count:0x4 container_index:0xe
[19:28:27.289] |D| [log_parameter]:  Uniform: name:texEnv type:4 component_count:0x1 container_index:0xe
[19:28:27.289] |D| [log_parameter]:  Uniform: name:texEnvColor type:0 component_count:0x4 container_index:0xe
[19:28:27.290] |D| [log_parameter]:  Sampler: name:tex type:0 component_count:0x4 container_index:0x0
[19:28:27.296] |E| [get_fragment_glsl]:  Missing fragment shader 083b16349c0df3b63d09affab9c06ced27912c56194804dd70d2d209ab574b1a
[19:28:27.296] |D| [log_parameter]:  Uniform: name:alphaCut type:0 component_count:0x1 container_index:0xe
[19:28:27.297] |D| [log_parameter]:  Uniform: name:alphaOp type:4 component_count:0x1 container_index:0xe
[19:28:27.298] |D| [log_parameter]:  Uniform: name:texEnv type:4 component_count:0x1 container_index:0xe
[19:28:27.298] |D| [log_parameter]:  Uniform: name:texEnvColor type:0 component_count:0x4 container_index:0xe
[19:28:27.299] |D| [log_parameter]:  Sampler: name:tex type:0 component_count:0x4 container_index:0x0
[19:28:27.302] |E| [get_fragment_glsl]:  Missing fragment shader 593bb50c2036a84afd418da2d17931abfc10fb4b85fa78b1261a1d14eebc3f6f
[19:28:27.303] |W| [stubbed_impl]:  Stubbed sceGxmShaderPatcherCreateMaskUpdateFragmentProgram import called. (Using a null shader)
[19:28:27.306] |W| [unimplemented_impl]:  Unimplemented sceHidKeyboardEnumerate import called.
[19:28:27.307] |W| [unimplemented_impl]:  Unimplemented sceHidMouseEnumerate import called.
[19:28:27.317] |E| [get_vertex_glsl]:  Missing vertex shader 5afb45f99efae9ab3e9e25d6b2ccb017879cc35c922f1ee312a70374fbe227e4
[19:28:27.317] |D| [log_parameter]:  Vertex attribute: name:aPosition type:0 component_count:0x4 container_index:0x0
[19:28:27.318] |D| [log_parameter]:  Vertex attribute: name:aTexcoord type:0 component_count:0x4 container_index:0x0
[19:28:27.318] |D| [log_parameter]:  Uniform: name:wvp type:0 component_count:0x4 container_index:0xe
[19:28:27.320] |E| [get_fragment_glsl]:  Missing fragment shader a58151d460aeef261f68cd116f9fcd157b6c12df5eb142108a3691137dac3e1b
[19:28:27.321] |D| [log_parameter]:  Uniform: name:IN2.texture_size type:0 component_count:0x2 container_index:0xe
[19:28:27.321] |D| [log_parameter]:  Sampler: name:s0 type:0 component_count:0x4 container_index:0x0
[19:28:27.324] |E| [get_vertex_glsl]:  Missing vertex shader b3ec75f71164a30dc0a92702239d430052e642e8957a90a2b9012f31f0f1e257
[19:28:27.325] |D| [log_parameter]:  Vertex attribute: name:aPosition type:0 component_count:0x4 container_index:0x0
[19:28:27.325] |D| [log_parameter]:  Vertex attribute: name:aTexcoord type:0 component_count:0x4 container_index:0x0
[19:28:27.326] |D| [log_parameter]:  Uniform: name:wvp type:0 component_count:0x4 container_index:0xe
[19:28:27.326] |D| [log_parameter]:  Uniform: name:IN.texture_size type:0 component_count:0x2 container_index:0xe
[19:28:27.328] |E| [get_fragment_glsl]:  Missing fragment shader 62232ba73c2d4bc0083beebec876e7a083e915bbe0b3baff0122c973cdd359a6
[19:28:27.329] |D| [log_parameter]:  Uniform: name:IN2.video_size type:0 component_count:0x2 container_index:0xe
[19:28:27.329] |D| [log_parameter]:  Uniform: name:IN2.output_size type:0 component_count:0x2 container_index:0xe
[19:28:27.330] |D| [log_parameter]:  Uniform: name:IN2.texture_size type:0 component_count:0x2 container_index:0xe
[19:28:27.330] |D| [log_parameter]:  Sampler: name:s0 type:0 component_count:0x4 container_index:0x0
[19:28:27.332] |E| [get_vertex_glsl]:  Missing vertex shader 73ca271b64c9788a66332fa1ae8de99b28925f0a69d4b205c5aebf894b5d6f22
[19:28:27.334] |D| [log_parameter]:  Vertex attribute: name:aPosition type:0 component_count:0x4 container_index:0x0
[19:28:27.334] |D| [log_parameter]:  Vertex attribute: name:aTexcoord type:0 component_count:0x4 container_index:0x0
[19:28:27.335] |D| [log_parameter]:  Uniform: name:wvp type:0 component_count:0x4 container_index:0xe
[19:28:27.335] |D| [log_parameter]:  Uniform: name:IN.output_size type:0 component_count:0x2 container_index:0xe
[19:28:27.335] |D| [log_parameter]:  Uniform: name:IN.texture_size type:0 component_count:0x2 container_index:0xe
[19:28:27.338] |E| [get_fragment_glsl]:  Missing fragment shader 38f1629cb2cd6d352f80bcdd4c47a6bbe53709a3e3da4386d9915baa6568c7d8
[19:28:27.338] |D| [log_parameter]:  Uniform: name:IN2.texture_size type:0 component_count:0x2 container_index:0xe
[19:28:27.339] |D| [log_parameter]:  Sampler: name:s0 type:0 component_count:0x4 container_index:0x0
[19:28:27.341] |E| [get_vertex_glsl]:  Missing vertex shader 0ec2bac9c0d95763bdbf6252ec81bf5bb59a2e6465191bcb8918ec6330160fb2
[19:28:27.342] |D| [log_parameter]:  Vertex attribute: name:aPosition type:0 component_count:0x4 container_index:0x0
[19:28:27.342] |D| [log_parameter]:  Vertex attribute: name:aTexcoord type:0 component_count:0x4 container_index:0x0
[19:28:27.344] |D| [log_parameter]:  Uniform: name:wvp type:0 component_count:0x4 container_index:0xe
[19:28:27.344] |D| [log_parameter]:  Uniform: name:IN.texture_size type:0 component_count:0x2 container_index:0xe
[19:28:27.346] |E| [get_fragment_glsl]:  Missing fragment shader 0be8dedc0649d208d2be04d7bfee669ded4ba0691c2159c3e87531d6a7fc5cf2
