[15:58:06.301] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:58:06.302] |I| [load_app_impl]: CPU Optimisation state: true
[15:58:06.303] |I| [load_app_impl]: ngs state: true
[15:58:06.305] |I| [load_app_impl]: Resolution multiplier: 1
[15:58:06.305] |I| [load_app_impl]: modules mode: Automatic
[15:58:06.305] |I| [load_app_impl]: Title: Unepic
[15:58:06.305] |I| [load_app_impl]: Serial: PCSE00840
[15:58:06.306] |I| [load_app_impl]: Version: 1.00
[15:58:06.306] |I| [load_app_impl]: Category: gd
[15:58:06.382] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:58:06.382] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000588A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[15:58:06.383] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:58:06.383] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[15:58:06.384] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E314
[15:58:06.385] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x434DC
[15:58:06.385] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4763C, setting to stub value 0xDEADBEEF
[15:58:06.389] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x491D0, setting to stub value 0xDEADBEEF
[15:58:06.391] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:58:06.442] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:58:06.443] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[15:58:06.443] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[15:58:06.443] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[15:58:06.444] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[15:58:06.445] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[15:58:06.445] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[15:58:06.475] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:58:06.476] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[15:58:06.478] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[15:58:06.483] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[15:58:06.485] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[15:58:06.488] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[15:58:06.490] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[15:58:06.524] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[15:58:06.528] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[15:58:06.531] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[15:58:06.533] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[15:58:06.534] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[15:58:06.536] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[15:58:06.548] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[15:58:06.549] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[15:58:06.553] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[15:58:06.556] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[15:58:06.557] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[15:58:06.559] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[15:58:06.775] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:58:06.776] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x002AEF54 / 0x81000000] (size: 0x001A5F54) of module app0:eboot.bin
[15:58:06.779] |I| [load_self]: Loaded module segment 1 @ [0x002AF000 - 0x02F88304 / 0x811A6000] (size: 0x02CD9304) of module app0:eboot.bin
[15:58:06.781] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[15:58:06.782] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x274270
[15:58:06.783] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2AF094
[15:58:06.785] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x28353C
