[08:25:18.756] |I| [config::init_config]: input-vpk-path: games\PCSE00881_GalGunDoublePeace_US.zip
[08:25:18.757] |I| [config::init_config]: backend-renderer: OpenGL
[08:25:18.757] |I| [config::init_config]: hardware-flip: enabled
[08:25:18.758] |I| [config::init_config]: log-level: 0
[08:25:18.759] |I| [SDL_main]: Vita3K v0.1 1315-5b070aac
[08:25:19.158] |I| [renderer::gl::create]: Swap interval = -1
[08:25:19.159] |I| [renderer::gl::create]: GPU = AMD Radeon HD 6700 Series
[08:25:19.159] |I| [renderer::gl::create]: GL_VERSION = 4.5.13399 Core Profile Context 15.200.1062.1004
[08:25:19.159] |I| [renderer::gl::create]: GL_SHADING_LANGUAGE_VERSION = 4.40
[08:25:19.160] |I| [renderer::gl::create]: Your GPU only supports texture barrier, performance may not be good on programmable blending games.
[08:25:19.160] |W| [renderer::gl::create]: Consider updating to GPU that has shader interlock.
[08:25:19.264] |I| [gui::init_icons]: Default icon found for title PETTANKO0, Pettanko Test.
[08:25:19.267] |I| [gui::init_icons]: Default icon found for title VITA2DTST, vita2dsample.
[08:25:19.269] |I| [gui::init_icons]: Default icon found for title VITATESTR, VitaTester.
[08:25:19.270] |I| [gui::init_icons]: Default icon found for title VSDK01337, SoLoud example.
[08:25:19.271] |I| [gui::init_icons]: Default icon found for title WF0000000, Test.
[08:25:19.272] |I| [gui::init_icons]: Default icon found for title WF0000011, Test.
[08:25:19.273] |I| [gui::init_icons]: Default icon found for title WF0000099, Tank test.
[08:25:21.728] |I| [install_vpk]: PCSE00881 already installed, launching application...
[08:25:21.729] |I| [load_app_impl]: Title: Gal*Gun Double Peace
[08:25:21.730] |I| [load_app_impl]: Serial: PCSE00881
[08:25:21.730] |I| [load_app_impl]: Version: 01.00
[08:25:21.730] |I| [load_app_impl]: Category: gd
[08:25:21.805] |I| [load_self]: Loaded module segment 0 @ [0x00001000 - 0x00050C54] (size: 0x0004FC54) of module app0:sce_module/libc.suprx
[08:25:21.806] |I| [load_self]: Loaded module segment 1 @ [0x00051000 - 0x00053688] (size: 0x00002688) of module app0:sce_module/libc.suprx
[08:25:21.807] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[08:25:21.807] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x46744
