[00:56:01.292] |I| [SDL_main]:  Vita3K v0.1 666-68330f2
[00:56:01.697] |I| [init]:  Swap interval = -1
[00:56:02.991] |I| [load_app_impl]:  Title: Clonage Bulle ePSP
[00:56:02.992] |I| [load_app_impl]:  Serial: CLON00001
[00:56:02.992] |I| [load_app_impl]:  Category: gd
[00:56:02.992] |D| [load_app_impl]:  Pre-load module at "sce_module/libc.suprx" not present
[00:56:02.992] |D| [load_app_impl]:  Pre-load module at "sce_module/libfios2.suprx" not present
[00:56:02.992] |D| [load_app_impl]:  Pre-load module at "sce_module/libult.suprx" not present
[00:56:03.077] |I| [load_self]:  Loading symbols for SELF: app0:eboot.bin
[00:56:03.078] |D| [load_var_exports]:  	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1C4830
[00:56:03.078] |D| [load_var_exports]:  	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1C488C
[00:56:03.078] |I| [load_app_impl]:  Main executable lpp-vita.elf (eboot.bin) loaded
[00:56:03.166] |I| [export_sceIoOpen]:  Opening file: tty0:
[00:56:03.167] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[00:56:03.167] |I| [export_sceIoOpen]:  Opening file: tty0:
[00:56:03.167] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[00:56:03.167] |I| [export_sceIoOpen]:  Opening file: tty0:
[00:56:03.167] |T| [open_file]:  sceIoOpen: Opening file tty0: (tty0:)
[00:56:03.335] |W| [unimplemented_impl]:  Unimplemented sceTouchSetSamplingState import called.
[00:56:03.335] |W| [unimplemented_impl]:  Unimplemented sceAppUtilInit import called.
[00:56:03.335] |W| [unimplemented_impl]:  Unimplemented sceCommonDialogSetConfigParam import called.
[00:56:03.335] |W| [unimplemented_impl]:  Unimplemented sceAppUtilMusicMount import called.
[00:56:03.336] |W| [unimplemented_impl]:  Unimplemented sceAppUtilPhotoMount import called.
[00:56:03.374] |I| [renderer::create]:  GL_VERSION = 4.1.0 NVIDIA 398.11
[00:56:03.374] |I| [renderer::create]:  GL_SHADING_LANGUAGE_VERSION = 4.10 NVIDIA via Cg compiler
[00:56:03.390] |I| [load_module]:  Loading module ID: 0xE
[00:56:03.391] |I| [load_self]:  Loading symbols for SELF: sys/external/libpgf.suprx
